AADHAAR_NO    ,NAME             ,DOB       ,PAN       ,LAST_EARNED_SALARY,ALLOWANCES,PENSION_TYPE,BANK_NAME              ,ACCOUNT_NO,BANK_TYPE
1111-1111-1111,David Rivas      ,19-01-1951,8HXFVQG563,65282             ,12026     ,Self        ,Bank of India          ,173348940 ,Public
2222-2222-2222,Joseph Valenzuela,13-07-1951,7B01QJ1WIF,50295             ,22924     ,Self        ,Axis Bank Ltd.         ,116923103 ,Private
3333-3333-3333,Kyle Roth        ,19-01-1952,VYF044X4CH,58833             ,11421     ,Family      ,Canara Bank            ,580744615 ,Public
4444-4444-4444,Barry Foster     ,01-06-1953,GQ9R6AYJ7G,63433             ,22164     ,Self        ,Central Bank of India  ,652928894 ,Public
1111-1111-1112,Ashley Wilson    ,05-11-1954,58M353TNYA,60815             ,28688     ,Family      ,Bandhan Bank Ltd.      ,245492751 ,Private
2222-2222-2223,Jessica Guzman   ,02-12-1955,HFYVG6T81R,65732             ,26171     ,Self        ,Indian Overseas Bank   ,633716812 ,Public
3333-3333-3334,John Peters      ,21-12-1955,00H5EEKHH1,89537             ,22301     ,Self        ,Federal Bank Ltd.      ,531378666 ,Private
4444-4444-4445,Daniel Lopez     ,25-06-1956,63WIRGG25W,58949             ,20173     ,Family      ,Punjab National Bank   ,666402372 ,Public
1111-1111-1113,Kyle Harvey      ,06-12-1956,BIYXY309QB,52722             ,11662     ,Self        ,State Bank of India    ,440821592 ,Public
2222-2222-2224,Eric Barron      ,18-12-1958,G3GVDUKH8S,87926             ,10197     ,Self        ,UCO Bank               ,411335599 ,Public
3333-3333-3335,Rodney Fuentes   ,27-11-1959,1ZL32OYOC0,86725             ,17693     ,Self        ,HDFC Bank Ltd          ,318801428 ,Private
4444-4444-4446,Benjamin Ward    ,23-08-1960,O6NE064M2B,62556             ,15252     ,Self        ,State Bank of India    ,779189304 ,Public
1111-1111-1114,Justin Gardner   ,16-05-1961,TT0WIKQLX5,80197             ,19437     ,Family      ,Induslnd Bank Ltd      ,674603591 ,Private
2222-2222-2225,Michael Dudley   ,22-05-1961,7D4WVOPRIY,53933             ,25233     ,Family      ,ICICI Bank Ltd.        ,454603897 ,Private
3333-3333-3336,Arthur Garner    ,12-06-1961,705C0YMJ02,67059             ,14178     ,Self        ,Axis Bank Ltd.         ,648210853 ,Private
4444-4444-4447,Kristin Zavala   ,06-03-1962,EFW1AEFQ68,58791             ,22906     ,Family      ,HDFC Bank Ltd          ,204321861 ,Private
1111-1111-1115,Brian Simmons    ,16-03-1962,GG9DJ9M6GI,66093             ,24363     ,Family      ,ICICI Bank Ltd.        ,371218878 ,Private
2222-2222-2226,Cynthia West     ,25-05-1963,9VLYNO5MMA,89497             ,17329     ,Self        ,Axis Bank Ltd.         ,255626995 ,Private
3333-3333-3337,Jacob Frederick  ,06-06-1963,9VDTC15DXI,73800             ,20398     ,Family      ,Kotak Mahindra Bank Ltd,702766140 ,Private
4444-4444-4448,Jared Williams   ,26-06-1963,F7K5ZR8LCD,67734             ,11592     ,Self        ,YES Bank Ltd.          ,302218412 ,Private
